type,title,slug,link,date
page,About,about,https://fermibot.wordpress.com/about/,2012-10-26 14:09:34
page,Water Molecules,water-molecules,https://fermibot.wordpress.com/water-molecules/,2014-05-31 17:31:37
page,Random Cubes,random-cubes,https://fermibot.wordpress.com/random-experiments/random-cubes/,2014-06-02 03:10:24
page,Experiments,random-experiments,https://fermibot.wordpress.com/random-experiments/,2014-06-02 03:11:55
page,Central Limit Theorem,central-limit-theorem-experiment,https://fermibot.wordpress.com/central-limit-theorem-experiment/,2015-12-29 23:59:11
page,Statistics Concepts,statistics-tutorials,https://fermibot.wordpress.com/statistics-tutorials/,2015-12-30 00:01:14
page,Statistical Distribution Functions,statistical-distribution-functions,https://fermibot.wordpress.com/statistics-tutorials/statistical-distribution-functions/,2015-12-30 04:59:34
page,Random Walks,random-walks,https://fermibot.wordpress.com/random-experiments/random-walks/,2016-01-01 03:21:10
page,Evolution,evolution,https://fermibot.wordpress.com/evolution/,2016-06-09 01:13:08
page,Pearson Correalation,pearson-correalation,https://fermibot.wordpress.com/pearson-correalation/,2016-09-24 19:49:05
page,Analysis of Shakespeare's work using Python 3,analysis-of-shakespeares-work-using-python-3,https://fermibot.wordpress.com/analysis-of-shakespeares-work-using-python-3/,2016-12-30 01:01:24
page,Simulation Problems,simulation-problems,https://fermibot.wordpress.com/simulation-problems/,2016-12-30 01:11:51
page,One Way Analysis of Variances (ANOVA) - A visual guide,one-way-analysis-of-variances-anova-a-visual-guide,https://fermibot.wordpress.com/one-way-analysis-of-variances-anova-a-visual-guide/,2017-02-05 04:38:10
page,Sheldon Ross: 10 Example 3.13 (Mouse trapped in a maze),mouse-trapped-in-a-tunnel,https://fermibot.wordpress.com/mouse-trapped-in-a-tunnel/,2017-02-05 15:53:43
page,Random Number Generators,code-libraries-for-random-numbers,https://fermibot.wordpress.com/code-libraries-for-random-numbers/,2017-02-09 19:43:28
page,MRG32k3a,mrg32k3a,https://fermibot.wordpress.com/mrg32k3a/,2017-02-13 07:13:17
page,ANOVA Package Python 3.5,anova-package-python-3-5,https://fermibot.wordpress.com/anova-package-python-3-5/,2017-02-17 02:38:38
page,Simulating rolls of Dice,simulating-rolls-of-dice,https://fermibot.wordpress.com/simulation-problems/simulating-rolls-of-dice/,2017-03-01 15:50:00
page,Data Visualization,data-visualization,https://fermibot.wordpress.com/data-visualization/,2017-03-12 22:54:20
page,U.S. Chronic Disease Indicators (CDI),u-s-chronic-disease-indicators-cdi,https://fermibot.wordpress.com/u-s-chronic-disease-indicators-cdi/,2017-03-12 22:57:07
page,Image Segmentation,image-segmentation,https://fermibot.wordpress.com/image-segmentation/,2017-06-10 02:28:26
page,Josephus Problem,josephus-problem,https://fermibot.wordpress.com/josephus-problem/,2018-02-22 01:46:20
page,Sheldon Ross 10 : Example 2.8,sheldon-ross-11-example-2-8,https://fermibot.wordpress.com/sheldon-ross-11-example-2-8/,2018-06-08 01:07:35
page,Probability Problems,probability-solved-problems,https://fermibot.wordpress.com/probability-solved-problems/,2018-06-09 15:26:08
page,Sheldon Ross 10 : Example 2.9,sheldon-ross-10-example-2-9,https://fermibot.wordpress.com/sheldon-ross-10-example-2-9/,2018-06-10 20:46:01
page,Sheldon Ross 10 : Example 2.10,sheldon-ross-10-example-2-10,https://fermibot.wordpress.com/sheldon-ross-10-example-2-10/,2018-06-13 01:09:45
page,Sheldon Ross 10 : Example 2.12 (α-particles ),sheldon-ross-10-example-2-12,https://fermibot.wordpress.com/sheldon-ross-10-example-2-12/,2018-06-14 02:06:44
page,Sheldon Ross 10: Example 2.18 (Expectation of a Geometric Random Variable),sheldon-ross-10-example-2-18-expectation-of-a-geometric-random-variable,https://fermibot.wordpress.com/sheldon-ross-10-example-2-18-expectation-of-a-geometric-random-variable/,2018-06-19 01:47:32
page,Sheldon Ross 10: Example 2.31,sheldon-ross-10-example-2-31,https://fermibot.wordpress.com/sheldon-ross-10-example-2-31/,2018-06-20 02:45:14
page,Sheldon Ross 10: Example 2.32,sheldon-ross-10-example-2-32,https://fermibot.wordpress.com/sheldon-ross-10-example-2-32/,2018-06-21 04:42:12
page,Sheldon Ross 10: Example 2.37 (Sums of Independent Poisson Random Variables),sheldon-ross-10-example-2-37-sums-of-independent-poisson-random-variables,https://fermibot.wordpress.com/sheldon-ross-10-example-2-37-sums-of-independent-poisson-random-variables/,2018-06-27 01:15:58
page,Sheldon Ross 10: Example 2.38 (Order Statistics),sheldon-ross-10-example-2-38-order-statistics,https://fermibot.wordpress.com/sheldon-ross-10-example-2-38-order-statistics/,2018-06-29 23:56:21
page,Sheldon Ross 10: Example 2.49,sheldon-ross-10-example-2-49,https://fermibot.wordpress.com/sheldon-ross-10-example-2-49/,2018-07-06 02:33:05
page,Sheldon Ross 10: Example 2.52,sheldon-ross-10-example-2-52,https://fermibot.wordpress.com/sheldon-ross-10-example-2-52/,2018-07-07 01:26:48
page,Sheldon Ross 10: Example 2.53,sheldon-ross-10-example-2-53,https://fermibot.wordpress.com/sheldon-ross-10-example-2-53/,2018-07-07 05:14:52
page,Sheldon Ross 10: Exercise 2.02,sheldon-ross-10-exercise-2-02,https://fermibot.wordpress.com/sheldon-ross-10-exercise-2-02/,2018-07-07 17:14:08
page,Sheldon Ross 10: Exercise 2.28 - Making a biased system useful!,sheldon-ross-10-exercise-2-28-making-a-biased-system-useful,https://fermibot.wordpress.com/sheldon-ross-10-exercise-2-28-making-a-biased-system-useful/,2018-07-10 02:30:07
page,Sheldon Ross 10: Example 3.16 (Analyzing the Quick-Sort Algorithm),sheldon-ross-10-example-3-16-analyzing-the-quick-sort-algorithm,https://fermibot.wordpress.com/sheldon-ross-10-example-3-16-analyzing-the-quick-sort-algorithm/,2018-07-16 02:48:13
page,Sheldon Ross 10: Example 3.17,sheldon-ross-10-example-3-17,https://fermibot.wordpress.com/sheldon-ross-10-example-3-17/,2018-07-24 10:36:26
page,Sheldon Ross 10: Example 3.23,sheldon-ross-10-example-3-23,https://fermibot.wordpress.com/sheldon-ross-10-example-3-23/,2018-07-29 12:43:34
page,Sheldon Ross 10: Example 3.25 (The best prize problem),sheldon-ross-10-example-3-25-the-best-prize-problem,https://fermibot.wordpress.com/sheldon-ross-10-example-3-25-the-best-prize-problem/,2018-08-02 02:16:04
page,City Bus Simulation,city-bus-simulation,https://fermibot.wordpress.com/city-bus-simulation/,2018-08-08 03:06:24
page,Sheldon Ross 10: Example 3.27 (The Ballot Problem),sheldon-ross-10-example-3-27-the-ballot-problem,https://fermibot.wordpress.com/sheldon-ross-10-example-3-27-the-ballot-problem/,2018-08-12 00:23:28
page,Sheldon Ross 10: Example 3.28,sheldon-ross-10-example-3-28,https://fermibot.wordpress.com/sheldon-ross-10-example-3-28/,2018-08-15 01:17:47
page,Sheldon Ross 10: Example 3.30,sheldon-ross-10-example-3-30,https://fermibot.wordpress.com/sheldon-ross-10-example-3-30/,2018-08-18 01:37:03
page,Introduction to Probability Modeling – Chapter 02,sheldon-ross-chapter-2,https://fermibot.wordpress.com/sheldon-ross-chapter-2/,2018-08-21 10:48:44
page,Introduction to Probability Modeling - Chapter 03,sheldon-ross-chapter-3,https://fermibot.wordpress.com/sheldon-ross-chapter-3/,2018-08-21 10:49:01
page,Sheldon Ross 10,sheldon-ross-10,https://fermibot.wordpress.com/sheldon-ross-10/,2018-08-21 10:53:36
page,Sheldon Ross 10: Example 3.11 (The Expectation of the Sum of a Random Number of Random Variables),sheldon-ross-10-example-3-11-the-expectation-of-the-sum-of-a-random-number-of-random-variables,https://fermibot.wordpress.com/sheldon-ross-10-example-3-11-the-expectation-of-the-sum-of-a-random-number-of-random-variables/,2018-08-22 00:30:06
page,Sheldon Ross 10: Example 3.32 (Automobile Insurance),sheldon-ross-10-example-3-32-automobile-insurance,https://fermibot.wordpress.com/sheldon-ross-10-example-3-32-automobile-insurance/,2018-08-26 12:38:21
page,Sheldon Ross 10: Section 3.6.1 A List Model,sheldon-ross-10-3-6-1-a-list-model,https://fermibot.wordpress.com/sheldon-ross-10-3-6-1-a-list-model/,2018-08-30 22:39:19
page,I. M. Sobol - The Monte Carlo Method - Section 05 - Simulation of a Mass Servicing System,i-m-sobol-the-monte-carlo-method-simulation-of-a-mass-servicing-system,https://fermibot.wordpress.com/i-m-sobol-the-monte-carlo-method-simulation-of-a-mass-servicing-system/,2018-09-01 00:06:27
page,I. M. Sobol - The Monte Carlo Method - Section 06 - Reliability Simulation,i-m-sobol-the-monte-carlo-method-section-06-reliability-simulation,https://fermibot.wordpress.com/i-m-sobol-the-monte-carlo-method-section-06-reliability-simulation/,2018-09-01 02:05:21
page,I. M. Sobol - The Monte Carlo Method - Section 07 - Computation of Neutron Transmission Through a Plate,i-m-sobol-the-monte-carlo-method-section-07-computation-of-neutron-transmission-through-a-plate,https://fermibot.wordpress.com/i-m-sobol-the-monte-carlo-method-section-07-computation-of-neutron-transmission-through-a-plate/,2018-09-01 02:23:11
page,I. M. Sobol - The Monte Carlo Method,the-monte-carlo-mathod-i-m-sobol,https://fermibot.wordpress.com/the-monte-carlo-mathod-i-m-sobol/,2018-09-08 16:17:12
page,I. M. Sobol - The Monte Carlo Method - Section 08 - Calculation of the Definite Integral,i-m-sobol-the-monte-carlo-method-section-08-calculation-of-the-definite-integral,https://fermibot.wordpress.com/i-m-sobol-the-monte-carlo-method-section-08-calculation-of-the-definite-integral/,2018-09-08 16:53:53
page,Sheldon Ross 10: Section 3.6.3 - Uniform Priors,sheldon-ross-10-section-3-6-3-uniform-priors,https://fermibot.wordpress.com/sheldon-ross-10-section-3-6-3-uniform-priors/,2018-09-21 01:56:39
page,Sheldon Ross 10: Exercise 3.08,sheldon-ross-10-exercise-3-08,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-08/,2018-10-16 01:17:08
page,Sheldon Ross 10: Exercise 3.13,sheldon-ross-10-exercise-3-13,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-13/,2018-10-16 01:45:29
page,Sheldon Ross 10: Exercise 3.20,sheldon-ross-10-exercise-3-20,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-20/,2018-10-18 01:40:10
page,Sheldon Ross 10: Exercise 3.22,sheldon-ross-10-exercise-3-22,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-22/,2018-10-23 22:40:12
page,Sheldon Ross 10: Exercise 3.23,sheldon-ross-10-exercise-3-23,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-23/,2018-10-25 02:35:34
page,Sheldon Ross 10: Exercise 3.26,sheldon-ross-10-exercise-3-26,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-26/,2018-10-28 03:41:27
page,Sheldon Ross 10: Exercise 3.27,sheldon-ross-10-exercise-3-27,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-27/,2018-10-28 06:56:15
page,Sheldon Ross 10: Exercise 3.29,sheldon-ross-10-exercise-3-29,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-29/,2018-10-28 20:29:35
page,Sheldon Ross 10: Exercise 3.31,sheldon-ross-10-exercise-3-31,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-31/,2018-11-30 02:06:40
page,Sheldon Ross 10: Exercise 3.34,sheldon-ross-10-exercise-3-34,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-34/,2018-12-04 00:50:49
page,Sheldon Ross 10: Exercise 3.35,sheldon-ross-10-exercise-3-35,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-35/,2018-12-05 02:01:03
page,Sheldon Ross 10: Exercise 3.40,sheldon-ross-10-exercise-3-40,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-40/,2018-12-08 16:06:05
page,Sheldon Ross 10: Exercise 3.44,sheldon-ross-10-exercise-3-44,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-44/,2018-12-08 22:28:22
page,Sheldon Ross 10: Exercise 3.45,sheldon-ross-10-exercise-3-45,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-45/,2018-12-09 01:55:49
page,Sheldon Ross 10: Exercise 3.02,sheldon-ross-10-exercise-3-02,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-02/,2018-12-09 01:59:45
page,Sheldon Ross 10:  Exercise 3.49,sheldon-ross-10-exercise-3-49,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-49/,2018-12-12 00:42:13
page,Sheldon Ross 10: Exercise 3.50,sheldon-ross-10-exercise-3-50,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-50/,2018-12-12 02:18:47
page,Sheldon Ross 10: Exercise 3.51,sheldon-ross-10-exercise-3-51,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-51/,2018-12-13 02:30:28
page,Sheldon Ross 10: Exercise 3.53,sheldon-ross-10-exercise-3-53,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-53/,2018-12-14 00:51:22
page,Sheldon Ross 10: Exercise 3.54,sheldon-ross-10-exercise-3-54,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-54/,2018-12-14 02:01:19
page,Sheldon Ross 10: Exercise 3.55,sheldon-ross-10-exercise-3-55,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-55/,2018-12-15 01:37:04
page,Sheldon Ross 10: Exercise 3.56,sheldon-ross-10-exercise-3-56,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-56/,2018-12-15 02:23:03
page,Sheldon Ross 10: Exercise 3.57,sheldon-ross-10-exercise-3-57,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-57/,2018-12-15 03:00:47
page,Sheldon Ross 10: Exercise 3.60,sheldon-ross-10-exercise-3-60,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-60/,2018-12-15 03:15:04
page,Sheldon Ross 10: Exercise 3.62,sheldon-ross-10-exercise-3-62,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-62/,2018-12-27 00:19:05
page,Sheldon Ross 10: Exercise 3.64,sheldon-ross-10-exercise-3-64,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-64/,2018-12-27 02:05:30
page,Sheldon Ross 10: Exercise 3.73,sheldon-ross-10-exercise-3-73,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-73/,2018-12-27 02:57:10
page,Sheldon Ross 10: Exercise 3.63,sheldon-ross-10-exercise-3-63,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-63/,2018-12-28 02:33:49
page,Sheldon Ross 10: Exercise 3.66,sheldon-ross-10-exercise-3-66,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-66/,2018-12-28 03:39:14
page,Sheldon Ross 10: Exercise 3.74,sheldon-ross-10-exercise-3-74,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-74/,2018-12-28 17:16:50
page,Sheldon Ross 10: Exercise 3.90,sheldon-ross-10-exercise-3-90,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-90/,2018-12-29 00:35:09
page,Sheldon Ross 10: Exercise 3.67,sheldon-ross-10-exercise-3-67,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-67/,2018-12-29 18:37:35
page,Sheldon Ross 10: Exercise 3.91,sheldon-ross-10-exercise-3-91,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-91/,2018-12-30 17:46:00
page,Sheldon Ross 10: Exercise 3.92,sheldon-ross-10-exercise-3-92,https://fermibot.wordpress.com/sheldon-ross-10-exercise-3-92/,2018-12-31 15:13:29
page,Sheldon Ross 10: Example 4.01 (Forecasting the Weather),sheldon-ross-10-example-4-01,https://fermibot.wordpress.com/sheldon-ross-10-example-4-01/,2019-01-03 02:00:44
page,Sheldon Ross 10: Example 4.02 (A Communications System),sheldon-ross-10-example-4-02,https://fermibot.wordpress.com/sheldon-ross-10-example-4-02/,2019-01-03 02:08:00
page,Sheldon Ross 10: Example 4.03,sheldon-ross-10-example-4-03,https://fermibot.wordpress.com/sheldon-ross-10-example-4-03/,2019-01-04 00:43:42
page,Sheldon Ross 10: Example 4.04 (Transforming a Process into a Markov Chain),sheldon-ross-10-example-4-04,https://fermibot.wordpress.com/sheldon-ross-10-example-4-04/,2019-01-04 01:20:49
page,Sheldon Ross 10: Example 4.06 (A Gambling Model),sheldon-ross-10-example-4-06,https://fermibot.wordpress.com/sheldon-ross-10-example-4-06/,2019-01-05 03:35:45
page,Sheldon Ross 10: Example 4.05 (A Random Walk Model),sheldon-ross-10-example-4-05,https://fermibot.wordpress.com/sheldon-ross-10-example-4-05/,2019-01-05 04:19:33
page,Introduction to Probability Modeling – Chapter 04,introduction-to-probability-modeling-chapter-04,https://fermibot.wordpress.com/introduction-to-probability-modeling-chapter-04/,2019-01-12 15:15:04
page,Sheldon Ross 10: Exercise 4.08,sheldon-ross-10-exercise-4-08,https://fermibot.wordpress.com/sheldon-ross-10-exercise-4-08/,2019-01-18 01:48:04
page,Sheldon Ross 10: Example 4.09,sheldon-ross-10-example-4-09,https://fermibot.wordpress.com/sheldon-ross-10-example-4-09/,2019-01-18 02:43:03
page,Sheldon Ross 10: Example 4.10,sheldon-ross-10-example-4-10,https://fermibot.wordpress.com/sheldon-ross-10-example-4-10/,2019-01-19 04:31:11
page,Kreyszig: Example 1.2,kreyszig-example-1-2,https://fermibot.wordpress.com/kreyszig-example-1-2/,2019-02-02 03:09:15
page,Engineering Mathematics,engineering-mathematics,https://fermibot.wordpress.com/engineering-mathematics/,2019-02-08 14:32:24
page,Kreyszig Engineering Mathematics,kreyszig-mathematics,https://fermibot.wordpress.com/kreyszig-mathematics/,2019-02-08 14:33:30
page,Kreyszig Chapter 01,kreyszig-chapter-01,https://fermibot.wordpress.com/kreyszig-chapter-01/,2019-02-08 14:40:50
page,Random Variate Correlations,random-variate-correlations,https://fermibot.wordpress.com/random-variate-correlations/,2019-04-13 02:22:57
page,Lattice Paths Visualization,lattice-paths-visualization,https://fermibot.wordpress.com/lattice-paths-visualization/,2019-07-21 02:24:40
page,Kreyszig: Example 1.3,kreyszig-example-1-3,https://fermibot.wordpress.com/kreyszig-example-1-3/,2019-07-24 11:53:46
page,A fair 8 from a fair 6,a-fair-8-from-a-fair-6,https://fermibot.wordpress.com/a-fair-8-from-a-fair-6/,2019-07-25 03:48:04
page,Algorithms,algorithms,https://fermibot.wordpress.com/algorithms/,2019-10-22 22:13:03
page,Sorting Algorithms,sorting-algorithms,https://fermibot.wordpress.com/sorting-algorithms/,2019-10-27 17:58:08
page,Linear Perceptron in 2D Space,linear-perceptron-in-2d-space,https://fermibot.wordpress.com/linear-perceptron-in-2d-space/,2019-10-31 02:12:12
page,Neural Networks,neural-networks,https://fermibot.wordpress.com/neural-networks/,2019-10-31 02:19:48
page,Off the Interstate 74,off-the-interstate-74,https://fermibot.wordpress.com/off-the-interstate-74/,2019-12-23 17:21:26
page,2020-03-01 Dream,2020-03-01-dream,https://fermibot.wordpress.com/2020-03-01-dream/,2020-03-01 16:23:02
page,2020-03-21 Dream,2020-03-21-dream,https://fermibot.wordpress.com/2020-03-21-dream/,2020-03-21 16:47:26
